,train_acc,test_acc,train_loss,test_error,epoch_timings,test_timings,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,dataset,num_workers_data_loader,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
0,0.19352,0.1027,2.182299582854561,4.986467132085486,54.5809428691864,14.699148178100586,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
1,0.21328,0.1089,2.120083760727397,5.1361849579630015,54.66327881813049,14.700737714767456,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
2,0.21866,0.1,2.1014378799501894,5.272391482244564,55.03968834877014,14.580998182296753,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
3,0.2287,0.1047,2.0851041709675506,5.6524651442902,55.17872381210327,14.94528603553772,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
4,0.23432,0.1097,2.0775525777236274,5.981477562385269,54.65511155128479,14.579136610031128,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
5,0.2352,0.0959,2.065011958332013,4.048492977890787,55.026551961898804,14.660521507263184,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
6,0.24192,0.0977,2.053595601750152,5.023360385170466,54.958500146865845,14.6657555103302,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
7,0.24728,0.0982,2.0472538111459873,4.813359233397472,55.24277305603027,14.8320894241333,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
8,0.24966,0.0923,2.0396544582703533,2.7786321368398545,55.167569398880005,15.022111654281616,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
9,0.25688,0.0935,2.0247011657261176,4.240359620202946,55.21827173233032,14.681535005569458,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
10,0.25812,0.1266,2.019931709065157,4.55713375912437,54.958977937698364,14.638951063156128,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
